mangaki_id,mangaki_title,manami_title,anidb.net,myanimelist.net,anilist.co,kitsu.io,notify.moe
,,Shout Our Evidence!,,https://myanimelist.net/anime/40360,https://anilist.co/anime/111861,,
,,"""Star""t",,https://myanimelist.net/anime/41090,,,
,,Heart Beat,,https://myanimelist.net/anime/36598,https://anilist.co/anime/102737,https://kitsu.io/anime/14073,https://notify.moe/anime/rU2N2KmmR
,,Sousha wa Tada Senaka to Teikin de Kataru Nomi,,https://myanimelist.net/anime/36841,https://anilist.co/anime/102847,https://kitsu.io/anime/14134,https://notify.moe/anime/JLEN2FiiR
,,Fire Me Up,,https://myanimelist.net/anime/39211,https://anilist.co/anime/107877,,
,,Moushin Soloist Life!,,https://myanimelist.net/anime/36601,https://anilist.co/anime/102814,https://kitsu.io/anime/14069,https://notify.moe/anime/pHhN2Fiig
,,Ever Green Never End,,https://myanimelist.net/anime/39793,https://anilist.co/anime/110283,,
,,Polka Dot,,https://myanimelist.net/anime/37413,https://anilist.co/anime/102851,https://kitsu.io/anime/41041,https://notify.moe/anime/YJiK2FiiR
,,Session High⤴,,https://myanimelist.net/anime/36608,https://anilist.co/anime/102821,https://kitsu.io/anime/14068,https://notify.moe/anime/yMhN2Fmig
,,Neko Matsuri,,https://myanimelist.net/anime/36603,https://anilist.co/anime/102816,https://kitsu.io/anime/14071,https://notify.moe/anime/rohNhFimg
,,Sayonara Freeway,,https://myanimelist.net/anime/39684,https://anilist.co/anime/110361,,
,,Muteki We Are One!!,,https://myanimelist.net/anime/36599,https://anilist.co/anime/102741,https://kitsu.io/anime/14075,https://notify.moe/anime/NzoH2KmmR
,,Trust,,https://myanimelist.net/anime/36606,https://anilist.co/anime/102819,https://kitsu.io/anime/14008,https://notify.moe/anime/9mVN2FiiR
,,World Reminiscences-Divertment,,,https://anilist.co/anime/110362,,
,,Brilliant Better,,https://myanimelist.net/anime/36594,https://anilist.co/anime/102726,https://kitsu.io/anime/13967,https://notify.moe/anime/LGzH2FiiR
,,Detarame Rock & Roll Theory,,https://myanimelist.net/anime/36597,https://anilist.co/anime/102735,https://kitsu.io/anime/14074,https://notify.moe/anime/Pr2NhKmiR
,,Issei Kiyuukyoku: Divertimento,,https://myanimelist.net/anime/40140,,https://kitsu.io/anime/42490,
,,Tanitsu Shikousei Overbloom,,https://myanimelist.net/anime/41091,,,
,,My Dearest Song,,https://myanimelist.net/anime/36602,https://anilist.co/anime/102815,https://kitsu.io/anime/14070,https://notify.moe/anime/R5hHhFmmR
